Quiz Demo
GUI
We Love Canada
Canada starts with…?
Canada starts with the letter ‘A’.,false
Canada starts with the letter ‘B’.,false
Canada starts with the letter ‘C’.,true
Canada starts with the letter ‘D’.,false
Canada starts with the letter ‘E’.,false

We Love Australia
Australia starts with…?
Australia starts with the letter ‘A’.,true
Australia starts with the letter ‘B’.,false
Australia starts with the letter ‘C’.,false
Australia starts with the letter ‘D’.,false
Australia starts with the letter ‘E’.,false

